visitor_type,weekend,purchase
returning,False,False
returning,False,False
new,False,False
returning,False,False
returning,False,False
returning,False,True
returning,True,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
new,True,False
returning,True,False
returning,False,False
returning,False,True
new,False,False
returning,False,False
returning,True,False
returning,False,False
returning,False,False
new,False,False
returning,False,False
returning,False,False
returning,True,False
new,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,True,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
new,False,False
returning,False,True
returning,False,False
new,False,False
returning,False,False
returning,False,True
returning,False,True
returning,False,False
new,False,False
returning,False,False
returning,True,False
returning,False,False
new,True,True
returning,False,False
returning,False,True
returning,False,False
returning,True,False
returning,False,True
returning,False,False
returning,False,True
returning,True,False
returning,False,False
returning,False,False
new,False,False
returning,False,False
returning,True,False
returning,True,False
returning,False,False
returning,False,True
returning,False,False
returning,False,False
returning,True,False
returning,False,False
returning,False,False
returning,False,False
returning,True,True
returning,False,False
returning,True,False
returning,True,False
returning,False,False
returning,True,False
returning,False,False
returning,True,False
returning,True,False
returning,False,False
returning,False,True
returning,False,False
returning,False,False
returning,True,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
new,False,False
returning,False,True
returning,False,False
returning,False,False
returning,False,True
returning,False,False
returning,False,False
returning,False,False
returning,False,False
returning,False,True
returning,False,False
returning,True,False
returning,False,False
returning,False,False
returning,False,False
returning,False,False
